ID,item,real,pred
358,13778,0,0.25753822922706604
124,3468,0,0.5388813614845276
399,6490,0,0.38743457198143005
215,1095,1,0.37458595633506775
118,5301,0,0.788395881652832
388,15885,1,0.5083710551261902
122,5811,1,0.39993804693222046
125,65,0,0.3595985174179077
398,5467,0,0.46915024518966675
391,12154,1,0.544126033782959
20,5872,1,0.7935512661933899
120,15485,0,0.2729533910751343
192,2048,0,0.4141019284725189
212,10371,0,0.9328963756561279
358,13780,0,0.25485238432884216
196,12709,1,0.5615695118904114
146,15397,0,0.05046435073018074
348,9715,0,1.0373936447649612e-06
132,2644,0,0.10700563341379166
76,16142,0,0.2775532603263855
332,2805,0,0.08023272454738617
54,2868,0,0.3355090916156769
387,4677,0,0.5086084008216858
352,4914,0,0.7583047151565552
85,13359,1,0.9745331406593323
292,4805,1,0.19143444299697876
266,10567,0,0.426388144493103
368,7994,1,0.32665857672691345
91,3510,0,0.5975772738456726
93,6703,1,0.5117009878158569
293,8607,1,0.9030656814575195
215,1217,1,0.08124777674674988
393,7246,0,0.5033629536628723
346,11880,1,0.9551256895065308
91,3552,0,1.4490898138319608e-05
198,487,0,3.449969517532736e-05
203,1612,1,0.7962126135826111
162,6029,1,0.06508631259202957
41,7130,0,0.15260577201843262
94,7751,1,0.004098192788660526
283,4514,0,0.3609826862812042
157,11700,0,0.09901207685470581
49,14062,0,0.001919155358336866
42,616,0,0.059496570378541946
66,834,0,0.6816728115081787
61,10985,0,0.023022957146167755
290,5262,1,0.14297880232334137
285,357,1,0.43806883692741394
370,8063,1,0.10979413241147995
52,13631,1,0.04149559140205383
38,4339,1,0.04248689115047455
66,865,0,0.9103938341140747
168,704,0,0.008495157584547997
53,15506,0,0.00010013340215664357
125,49,0,4.520293828136346e-08
263,16017,1,0.001035000546835363
113,4069,1,0.6599823236465454
54,2863,0,0.002826323267072439
31,3006,1,0.6609090566635132
125,21,0,0.000236459105508402
82,9879,1,0.5895087122917175
141,14476,0,0.6967636346817017
216,1019,1,0.3543146550655365
409,11376,0,0.027540083974599838
93,6749,1,0.623695433139801
258,11061,1,0.997137188911438
296,16462,1,0.11326450109481812
408,2503,0,0.6430113911628723
230,338,0,0.1862591952085495
70,7124,1,0.556463897228241
388,15908,1,0.5035582780838013
197,17004,0,0.7816954255104065
154,7101,1,0.15655408799648285
384,4764,1,0.03413531184196472
188,5630,1,0.3155522644519806
289,8084,0,0.005227073561400175
271,7918,0,0.8528276681900024
353,9911,0,0.16330207884311676
216,1028,1,0.3376528322696686
197,17056,0,0.8499341607093811
378,4409,1,0.34830743074417114
28,16311,1,0.811924934387207
257,9551,0,0.9299964308738708
142,14242,1,0.3970542550086975
399,6494,0,0.0001275337563129142
346,11776,1,0.8340927362442017
304,12392,1,0.5445502996444702
165,12830,1,0.027809876948595047
208,16681,1,0.0009455091203562915
7,8258,0,0.0003323979035485536
215,1146,1,0.10107291489839554
109,3946,0,0.4306071102619171
162,6040,1,0.0005803283420391381
319,4106,0,0.03507547453045845
379,1501,1,0.00983452145010233
393,7248,0,0.8693180680274963
48,13236,1,0.6024966239929199
331,9987,1,0.08007639646530151
4,10727,0,0.0011919945245608687
76,16172,0,0.005970736499875784
61,10968,0,0.8507558107376099
146,15381,0,0.20044249296188354
322,14680,0,0.0006539489259012043
68,16914,0,0.0892544612288475
318,12885,0,4.80354311882536e-10
162,5993,1,0.8418128490447998
328,7313,0,0.2198968380689621
348,9706,0,0.38999447226524353
66,864,0,0.0005840422818437219
281,17144,0,1.5298579455702566e-05
231,13259,0,0.773017406463623
351,803,1,0.38828402757644653
345,6211,1,0.015328556299209595
288,14416,0,0.016016239300370216
383,10431,1,0.6331987380981445
277,542,1,0.5068168640136719
251,8916,1,0.5821086168289185
126,12967,0,0.22078567743301392
121,14583,0,0.8787220120429993
356,2553,0,0.44794583320617676
289,8081,0,0.17598672211170197
260,9405,1,0.7483785152435303
13,1337,0,0.04626454785466194
103,15772,1,0.5037187337875366
127,8162,1,0.0012528861407190561
374,17152,1,0.327016144990921
11,11233,0,0.4747907221317291
88,15644,0,0.9546794295310974
354,10322,1,0.5049536824226379
242,3626,1,0.9160512089729309
167,1916,1,0.9517949819564819
266,10558,0,0.3448503613471985
72,13090,1,0.9604259729385376
398,5458,0,0.30371221899986267
210,14874,0,0.008941312320530415
119,1466,1,0.09023279696702957
252,4862,0,0.3542754054069519
100,2478,1,0.6127766966819763
146,15360,0,0.008657181635499
13,1355,0,0.03459050506353378
358,13787,0,0.003588518127799034
17,949,0,3.19688773231519e-08
273,7271,0,0.19585339725017548
197,17014,0,0.011576833203434944
146,15242,0,8.117660763673484e-05
257,9596,0,0.10709908604621887
105,17369,0,0.06494861096143723
346,11890,1,0.01799212023615837
116,16099,1,0.007236921694129705
125,17,0,0.27932724356651306
168,707,0,0.3283708989620209
152,16392,1,0.14701929688453674
170,11437,0,0.14970967173576355
219,10847,0,0.01122137438505888
351,788,1,0.4633094072341919
346,11816,1,0.7084810137748718
409,11352,0,0.061100032180547714
195,2240,0,0.9144974946975708
172,2213,0,0.7189322113990784
317,16344,0,0.055067237466573715
362,5150,0,0.4774494469165802
341,11587,0,0.6138409376144409
253,17605,0,0.0011823700042441487
37,15142,0,0.14550849795341492
52,13616,1,0.7340606451034546
356,2589,0,0.18131135404109955
113,4098,1,0.36666640639305115
73,13458,1,0.28716936707496643
35,1784,1,0.26715952157974243
149,6963,1,0.4758266508579254
369,17434,1,0.3055171072483063
167,1911,1,0.6607528924942017
257,9505,0,0.07490743696689606
279,13985,0,0.25937923789024353
74,15517,1,0.33417412638664246
210,14864,0,0.09022179991006851
219,10848,0,0.2850547432899475
279,13994,0,0.18755455315113068
49,14063,0,0.20699572563171387
127,8183,1,0.09834468364715576
84,16259,1,0.07178955525159836
153,14080,0,0.2423660308122635
84,16236,1,0.6709339618682861
203,1678,1,0.015343871898949146
4,10764,0,0.3975012004375458
105,17376,0,0.3813728988170624
